SUB,COND,MODE,META,SYNC,VAR
72,NAP,MODE1,0.226030229152726,0.709925315383891,0.00383863089074698
73,NAP,MODE1,0.24832637836146,0.583824644525768,0.00466680605962377
74,NAP,MODE1,0.147384002614311,0.780137474718416,0.00449353551718949
75,NAP,MODE1,0.204696935909241,0.7376897841559,0.00293237525025974
76,NAP,MODE1,0.223481289601975,0.543649388635553,0.00567986145254639
77,NAP,MODE1,0.183251047945743,0.832412525339172,0.00345706383310344
78,NAP,MODE1,0.231970952392412,0.719761181529587,0.0032895968880737
79,NAP,MODE1,0.219272666782033,0.732813289693239,0.00339788744217062
80,NAP,MODE1,0.241833267872508,0.589043806155452,0.00630728006912293
81,NAP,MODE1,0.205831374378697,0.700667606575309,0.00553408193652921
82,NAP,MODE1,0.185444173737893,0.785891808326911,0.00233163634940942
83,NAP,MODE1,0.201748551185615,0.785601869897433,0.00098414196058053
84,NAP,MODE1,0.193950682079365,0.789547798120848,0.00436870760954071
85,NAP,MODE1,0.236471834690974,0.600566630954032,0.00557043227077045
86,NAP,MODE1,0.179690438918113,0.745574360641151,0.00467524119950517
87,NAP,MODE1,0.243074964675416,0.725555573718191,0.00476283135130555
88,NAP,MODE1,0.211855493641843,0.681576576646944,0.00515106660984008
89,NAP,MODE1,0.217140955423118,0.66505642186247,0.0044713431357861
90,NAP,MODE1,0.191876075485682,0.425654627589808,0.00505794942781224
91,NAP,MODE1,0.187179853409906,0.641307032832143,0.00492949023042842
92,NAP,MODE1,0.204116303483518,0.703175039407018,0.0037044672712925
93,NAP,MODE1,0.153708733885311,0.67099339901021,0.00332850452747084
94,NAP,MODE1,0.20636856056175,0.620370039466403,0.00618860657550484
95,NAP,MODE1,0.216076588791179,0.642907080345906,0.00372690126644495
96,NAP,MODE1,0.189594618252316,0.516874485030545,0.00647042688147999
97,NAP,MODE1,0.189428009257494,0.651883872698705,0.00369341936763526
98,NAP,MODE1,0.216949062690719,0.536416185695143,0.00409066591794017
99,NAP,MODE1,0.159550760111039,0.568535497374534,0.00482979871682314
100,NAP,MODE1,0.239007127092283,0.538408015097224,0.00470700787571035
101,NAP,MODE1,0.196321016958138,0.583693156386484,0.00496625363226912
102,NAP,MODE1,0.208715974241747,0.780157858444888,0.00289881053719753
103,NAP,MODE1,0.198222893152373,0.557485763892545,0.00543488430228176
104,NAP,MODE1,0.182590533015538,0.747253576565734,0.00756308017937389
105,NAP,MODE1,0.258188672712118,0.576424541744007,0.00579737518570994
106,NAP,MODE1,0.1768069246423,0.804076155224181,0.00249950027652427
107,NAP,MODE1,0.226622396604901,0.651700875948866,0.00410580327452426
108,NAP,MODE1,0.153304105819414,0.71378040982547,0.00411939823313027
109,NAP,MODE1,0.172165741019097,0.643982566887171,0.00383042637386294
110,NAP,MODE1,0.262274651378235,0.583715383014776,0.0025800589941424
111,NAP,MODE1,0.228434879805914,0.746218548075218,0.00579168494455738
112,NAP,MODE1,0.126061844087201,0.845499275961815,0.00398040363002305
113,NAP,MODE1,0.207903100028214,0.424663326543268,0.0057055040126294
114,NAP,MODE1,0.219900033887377,0.613975488702994,0.00442504788946338
115,NAP,MODE1,0.213042757206647,0.709624376293686,0.00560359864341374
116,NAP,MODE1,0.283180894757889,0.571824237715893,0.00493242948959955
117,NAP,MODE1,0.183709597367269,0.685248869908019,0.00462981235539784
118,NAP,MODE1,0.216852939572292,0.720516329644811,0.00487185837208799
119,NAP,MODE1,0.168427331897196,0.601609282829258,0.00506098084609303
120,NAP,MODE1,0.0974268400119854,0.572132411659317,0.00575335010196731
121,NAP,MODE1,0.241662188100637,0.61150090961368,0.00436343353512071
122,NAP,MODE1,0.205461092271856,0.789794098252581,0.003019595980375
123,NAP,MODE1,0.159645999041215,0.744285600652193,0.00676396091614095
124,NAP,MODE1,0.277426184794178,0.703154753649677,0.00214584891243698
125,NAP,MODE1,0.312259928400411,0.425917224123217,0.00467042208797963
126,NAP,MODE1,0.200106559948858,0.842469924446814,0.00188794864998298
127,NAP,MODE1,0.212981244467342,0.582310231039807,0.00270900097180283
128,NAP,MODE1,0.240144568962501,0.779218071243341,0.00297159842070356
129,NAP,MODE1,0.133045698213931,0.826647941111689,0.00306053362412351
130,NAP,MODE1,0.221026228878628,0.529488029373969,0.00524175547962275
72,NAP,MODE2,0.175425797387113,0.80586335277962,0.00374758198682881
73,NAP,MODE2,0.164818834203057,0.883970843069784,0.00380548878509212
74,NAP,MODE2,0.181556086768617,0.830048309878635,0.00695922789349144
75,NAP,MODE2,0.192080825418545,0.862287305468043,0.00437607690410806
76,NAP,MODE2,0.228485319201479,0.763437880165775,0.00514776685881478
77,NAP,MODE2,0.144334997015359,0.914804568781126,0.00329835299686786
78,NAP,MODE2,0.128682454167903,0.938002117686814,0.00141516495749373
79,NAP,MODE2,0.126062501543947,0.933128973618621,0.00187984930479938
80,NAP,MODE2,0.200097332761409,0.818086940714974,0.00658722946992798
81,NAP,MODE2,0.211244644150963,0.795476803219485,0.00684132891183085
82,NAP,MODE2,0.213214191792324,0.759861082340888,0.0026024279807487
83,NAP,MODE2,0.132181343047192,0.922400931082565,0.00069465587513162
84,NAP,MODE2,0.08692257583926,0.959195062873164,0.00265142191844597
85,NAP,MODE2,0.132496083756179,0.853907841593325,0.0064786147155207
86,NAP,MODE2,0.168385866873593,0.858449627672833,0.00665539147040604
87,NAP,MODE2,0.206973530154017,0.795321362572843,0.00416374186673946
88,NAP,MODE2,0.116588588012475,0.873362391430973,0.00495090650477004
89,NAP,MODE2,0.265406856148566,0.728586198077793,0.00542375057509823
90,NAP,MODE2,0.303281221356037,0.656502644874013,0.00400172321641708
91,NAP,MODE2,0.134521055571068,0.91818391538347,0.00466714890575852
92,NAP,MODE2,0.118196675858651,0.924930100506538,0.00244130738184748
93,NAP,MODE2,0.149237189837612,0.903263547291863,0.00191400671806596
94,NAP,MODE2,0.115000736054128,0.867759136020969,0.00694503729725938
95,NAP,MODE2,0.207719347882026,0.867921075850091,0.00271956267078368
96,NAP,MODE2,0.300595860029717,0.631075924409579,0.00631169274087133
97,NAP,MODE2,0.190204463640857,0.738675986792573,0.0061963778628871
98,NAP,MODE2,0.143926801981409,0.900318533565141,0.00279994700818558
99,NAP,MODE2,0.157609644041763,0.905905761039281,0.00290048311988433
100,NAP,MODE2,0.220421576093705,0.757382732402894,0.00438543708514628
101,NAP,MODE2,0.195940848889093,0.794552281893504,0.00711613066039898
102,NAP,MODE2,0.205053661215509,0.856245487598649,0.00288922897652204
103,NAP,MODE2,0.10711659258213,0.917560799067981,0.00625885032857356
104,NAP,MODE2,0.258976349435676,0.758441024142985,0.00694523713322054
105,NAP,MODE2,0.141110478234564,0.870005693467583,0.00604848713336231
106,NAP,MODE2,0.176126802553373,0.883764568177438,0.00189081079734269
107,NAP,MODE2,0.109307342671453,0.927122162310608,0.00233220040851441
108,NAP,MODE2,0.0893644753778526,0.935538140889868,0.00189080085727128
109,NAP,MODE2,0.268627569462321,0.713809030861396,0.00340125480216884
110,NAP,MODE2,0.203729822506672,0.814575485668519,0.00159444564612005
111,NAP,MODE2,0.190652428853793,0.854761594308509,0.00414866567545119
112,NAP,MODE2,0.0775141544123183,0.942638886489057,0.00363355208995486
113,NAP,MODE2,0.18973856971972,0.838303925724415,0.00403142441342986
114,NAP,MODE2,0.15758912769915,0.839559159558683,0.00367177273502332
115,NAP,MODE2,0.187568396245237,0.774174086659243,0.00525319316165159
116,NAP,MODE2,0.213073240774807,0.805468990668251,0.0050079215524349
117,NAP,MODE2,0.130935893007342,0.912813510361806,0.00475096394885095
118,NAP,MODE2,0.175052547622998,0.780901269215193,0.00445313813819616
119,NAP,MODE2,0.130518469828184,0.861896413766398,0.00513560614005294
120,NAP,MODE2,0.199311562619366,0.883469172901788,0.00595699938694468
121,NAP,MODE2,0.237133165089788,0.79609873368235,0.00371434315251966
122,NAP,MODE2,0.0820085697939162,0.962230263702122,0.00320580520996499
123,NAP,MODE2,0.0816648891886631,0.935291707897304,0.00717353741912232
124,NAP,MODE2,0.0781742505924442,0.952886940663818,0.00205059151187449
125,NAP,MODE2,0.125422041490823,0.908050954620755,0.00305857046816542
126,NAP,MODE2,0.0247126584186204,0.977669335782823,0.00166503065513764
