SUB,COND,MODE,META,VAR
72,NAP,MODE1,0.181388287412543,0.0041967619690776
73,NAP,MODE1,0.219350224918194,0.00472752358120088
74,NAP,MODE1,0.224228051562004,0.00504115051563138
75,NAP,MODE1,0.171955422022131,0.00322911878990156
76,NAP,MODE1,0.21344228282838,0.00548629138367553
77,NAP,MODE1,0.222891247835251,0.00394979510668208
78,NAP,MODE1,0.198095332809166,0.00325711837303035
79,NAP,MODE1,0.193395131790398,0.00376594604385218
80,NAP,MODE1,0.178203537212556,0.00576865883236645
81,NAP,MODE1,0.200470361730331,0.00573168004242802
82,NAP,MODE1,0.2073912231282,0.00291068670475589
83,NAP,MODE1,0.128358229681305,0.00117436670071258
84,NAP,MODE1,0.167137688626715,0.00375044072935072
85,NAP,MODE1,0.193115627748818,0.00603702506908063
86,NAP,MODE1,0.234751243689801,0.00527225926792097
87,NAP,MODE1,0.193044281495729,0.00519290157693384
88,NAP,MODE1,0.203158982972914,0.00546058394879308
89,NAP,MODE1,0.208581251317879,0.00539321815139198
90,NAP,MODE1,0.164434683731772,0.00450439738506149
91,NAP,MODE1,0.234936348185906,0.00406332761257002
92,NAP,MODE1,0.171077762069167,0.00298042539500972
93,NAP,MODE1,0.239244327926544,0.00319061046108322
94,NAP,MODE1,0.214827665273351,0.0060704627705758
95,NAP,MODE1,0.220949637679766,0.00358655774743014
96,NAP,MODE1,0.157350595244448,0.00607918248732674
97,NAP,MODE1,0.163676382421842,0.00495251415776431
98,NAP,MODE1,0.184546072496258,0.00358981424466026
99,NAP,MODE1,0.183283518638792,0.00338076495509715
100,NAP,MODE1,0.190231879520704,0.00500328501535272
101,NAP,MODE1,0.197535549861943,0.00536339566893213
102,NAP,MODE1,0.196803564453188,0.0048481034609216
103,NAP,MODE1,0.200610890837534,0.00480915879672504
104,NAP,MODE1,0.182526298804188,0.00680035519153778
105,NAP,MODE1,0.186442901524804,0.00627758848889327
106,NAP,MODE1,0.204189920411144,0.00319544757588697
107,NAP,MODE1,0.176811194139863,0.00301638345951283
108,NAP,MODE1,0.199411708688077,0.00352164894567283
109,NAP,MODE1,0.197851218042488,0.0039546085563779
110,NAP,MODE1,0.171641697914748,0.00281067279011799
111,NAP,MODE1,0.235762428255492,0.00526335824292575
112,NAP,MODE1,0.214843341641956,0.0034093937047045
113,NAP,MODE1,0.211471574137883,0.00464243562086558
114,NAP,MODE1,0.21814366311741,0.00506733901879068
115,NAP,MODE1,0.166585656087742,0.00429545502357626
116,NAP,MODE1,0.220604932723487,0.00505916090396137
117,NAP,MODE1,0.249744272376832,0.00486988357253051
118,NAP,MODE1,0.195052771635953,0.00504240679087194
119,NAP,MODE1,0.202874182030863,0.00534149814022313
120,NAP,MODE1,0.215896772931755,0.00599197230815301
121,NAP,MODE1,0.204976459831018,0.00444058832717659
122,NAP,MODE1,0.23357681375927,0.0036409611812584
123,NAP,MODE1,0.255361824581777,0.00646132194296158
124,NAP,MODE1,0.207838607408812,0.00250590033001769
125,NAP,MODE1,0.214020544077039,0.00485115973184235
126,NAP,MODE1,0.151511603103013,0.0015582278954161
127,NAP,MODE1,0.187216456455922,0.00336507877249416
128,NAP,MODE1,0.196180835183227,0.00317843332223282
